Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:13:24 AM,7:39:25 AM,1.4,29,-1.6
First Transit,2210,15,26,204001,20cw,3:26:26 PM,3:54:27 PM,0.4,30,-1.5
First Transit,3206,16,0,502101,51,4:00:22 PM,4:22:08 PM,0.4,27,-4.9
First Transit,3206,16,33,502102,51,4:36:07 PM,5:02:22 PM,3.1,28,1.4
First Transit,3206,17,8,502103,51,5:08:22 PM,5:31:38 PM,0.4,27,-3.4
First Transit,3206,17,48,502104,51,5:50:25 PM,,2.4,25,
First Transit,3206,18,19,502105,51,6:22:40 PM,6:43:41 PM,3.7,27,-2.3
First Transit,3206,18,53,502106,51,6:53:40 PM,7:14:56 PM,0.7,24,-2.1
First Transit,3206,19,20,502107,51,7:20:25 PM,7:32:55 PM,0.4,11,1.9
First Transit,3207,6,39,502001,51,6:39:28 AM,6:53:29 AM,0.5,16,-1.5
First Transit,3207,7,5,502002,51,7:05:43 AM,7:25:59 AM,0.7,24,-3
First Transit,3207,7,29,502003,51,7:29:43 AM,7:52:59 AM,0.7,27,-3
First Transit,3207,12,46,501101,51,12:46:28 PM,1:10:58 PM,0.5,24,1
First Transit,3207,13,13,501102,51,1:13:28 PM,1:37:29 PM,0.5,26,-1.5
First Transit,3207,13,46,501103,51,1:47:28 PM,2:12:13 PM,1.5,24,2.2
First Transit,3207,14,12,501104,51,2:13:13 PM,2:36:44 PM,1.2,26,-1.3
First Transit,3207,14,45,501105,51,2:45:28 PM,3:11:28 PM,0.5,25,1.5
First Transit,3207,15,12,501106,51,3:12:28 PM,,0.5,27,
First Transit,3207,16,3,501107,51,4:04:58 PM,4:30:59 PM,2,28,0
First Transit,3207,16,34,501108,52,4:34:28 PM,5:15:28 PM,0.5,35,6.5
First Transit,3207,17,16,501109,51,5:16:58 PM,5:42:43 PM,1,26,0.7
First Transit,3207,17,45,501110,51,5:45:13 PM,6:09:59 PM,0.2,27,-2
First Transit,3207,18,25,501111,51,6:25:43 PM,6:49:44 PM,0.7,25,-0.3
First Transit,3207,18,53,501112,52,6:53:43 PM,,0.7,35,
First Transit,3207,19,34,501113,51,,7:58:28 PM,,24,0.5
First Transit,3208,5,58,601001,60,5:58:22 AM,6:16:07 AM,0.4,18,0.1
First Transit,3208,6,20,601002,60,6:20:37 AM,6:36:37 AM,0.6,16,0.6
First Transit,3208,6,41,601003,60,6:41:37 AM,6:59:53 AM,0.6,20,-1.1
First Transit,3208,7,3,601004,60,7:03:22 AM,7:19:08 AM,0.4,17,-0.9
First Transit,3208,7,33,601005,60,7:33:52 AM,7:52:23 AM,0.9,21,-1.6
First Transit,3208,7,58,601006,60,7:58:22 AM,8:15:53 AM,0.4,18,-0.1
First Transit,3208,8,23,601007,60,8:24:37 AM,8:42:53 AM,1.6,21,-1.1
First Transit,3208,8,47,601008,60,8:49:22 AM,9:06:07 AM,2.4,17,2.1
First Transit,3208,9,12,601009,60,9:12:37 AM,9:33:07 AM,0.6,20,1.1
First Transit,3208,9,36,601010,60,9:36:52 AM,9:54:22 AM,0.9,17,1.4
First Transit,3208,9,58,601011,60,9:58:22 AM,10:18:07 AM,0.4,20,0.1
First Transit,3208,10,19,601012,60,10:19:22 AM,10:36:37 AM,0.4,17,0.6
First Transit,3208,14,45,602001,60,2:45:52 PM,3:06:23 PM,0.9,23,-1.6
